Date, Close/Last, Volume, Open, High, Low
11/13/2019, $35.7754, 24656690, $36.1176, $36.1176, $35.4822
11/12/2019, $36.1371, 12655830, $36.0003, $36.2544, $35.8732
11/11/2019, $36.098, 11901530, $36.0785, $36.1713, $35.9221
11/08/2019, $36.2153, 25263680, $36.0491, $36.3228, $36.0003
11/07/2019, $36.0785, 21562920, $36.5574, $36.7285, $36.0491
11/06/2019, $36.7627, 17796690, $36.7627, $36.88, $36.5134
11/05/2019, $36.6356, 20577300, $37.1732, $37.2417, $36.6258
11/04/2019, $37.1732, 16802450, $37.8379, $37.8672, $37.1732
11/01/2019, $37.5251, 18276270, $37.8184, $38.0627, $37.5251
10/31/2019, $37.5056, 23282650, $37.5251, $37.7108, $37.3199
10/30/2019, $37.6131, 20891280, $37.5447, $37.9454, $37.4371
10/29/2019, $37.3492, 30561660, $37.1439, $37.8868, $37.0657
10/28/2019, $36.4401, 24478530, $36.0296, $36.6356, $35.9905
10/25/2019, $35.9416, 16601240, $35.58, $36.0491, $35.492
10/24/2019, $35.5702, 19023140, $35.9221, $36.01, $35.4431
10/23/2019, $35.9416, 13301360, $35.492, $35.9514, $35.404
10/22/2019, $35.6093, 13811980, $35.5897, $35.8732, $35.4333
10/21/2019, $35.6386, 12584650, $35.8243, $35.8536, $35.5409
10/18/2019, $35.6386, 13491210, $35.6093, $35.8732, $35.5311
10/17/2019, $35.6386, 14561580, $35.6679, $35.9807, $35.5506
10/16/2019, $35.5213, 13722060, $35.8048, $35.9221, $35.5018
10/15/2019, $35.6777, 14419740, $35.6288, $35.9135, $35.5897
10/14/2019, $35.4822, 8417230, $35.3454, $35.5311, $35.1694
10/11/2019, $35.2965, 17523660, $35.3258, $35.7559, $35.2574
10/10/2019, $34.9837, 11720790, $34.8664, $35.2028, $34.798
10/09/2019, $34.8859, 12954610, $34.8468, $35.0814, $34.7296
10/08/2019, $34.6318, 14043170, $34.8468, $35.0673, $34.622
10/07/2019, $35.0228, 11169120, $35.013, $35.4431, $34.9935
10/04/2019, $35.1205, 17168060, $34.6905, $35.1694, $34.6465
10/03/2019, $34.6514, 21141350, $33.928, $34.6709, $33.8205
10/02/2019, $33.9183, 21354500, $34.4656, $34.4754, $33.8743
10/01/2019, $34.6318, 20926780, $35.1205, $35.2085, $34.6318
09/30/2019, $35.1205, 16339380, $35.4627, $35.492, $35.1108
09/27/2019, $35.404, 16682900, $35.0521, $35.5213, $34.9153
09/26/2019, $34.9739, 16196050, $35.2574, $35.4236, $34.7638
09/25/2019, $35.0912, 19297120, $35.101, $35.5311, $34.8957
09/24/2019, $35.1987, 22995230, $35.4529, $35.7559, $35.1694
09/23/2019, $35.4236, 16436350, $35.5604, $35.7657, $35.4138
09/20/2019, $35.8634, 43916810, $36.0589, $36.4108, $35.6581
09/19/2019, $35.6875, 16879320, $35.5995, $35.9367, $35.5213
09/18/2019, $35.5604, 18700050, $35.7461, $35.8927, $35.4431
09/17/2019, $35.6777, 21245860, $35.9612, $35.9709, $35.5262
09/16/2019, $36.0003, 18858710, $35.6386, $36.1811, $35.5311
09/13/2019, $36.0785, 22864870, $36.5476, $36.748, $35.7852
09/12/2019, $36.4401, 15837120, $36.7236, $36.7725, $36.2202
09/11/2019, $36.5672, 16094090, $36.8898, $36.9093, $36.0687
09/10/2019, $36.5379, 30598400, $35.7657, $36.5379, $35.2085
09/09/2019, $36.0003, 23411400, $35.7657, $36.01, $35.316
09/06/2019, $35.6777, 19804040, $35.5409, $35.7412, $35.2965
09/05/2019, $35.5213, 20965750, $35.2965, $35.6581, $35.0766
09/04/2019, $35.0228, 19609210, $35.4822, $35.58, $34.8957
09/03/2019, $35.3063, 25260980, $34.8077, $35.4675, $34.71
08/30/2019, $34.7491, 17907310, $34.8175, $34.9153, $34.4852
08/29/2019, $34.5341, 18608620, $34.9837, $34.9837, $34.4314
08/28/2019, $34.2897, 24719580, $33.5859, $34.3581, $33.5028
08/27/2019, $33.5664, 23450020, $34.2213, $34.2995, $33.537
08/26/2019, $34.0551, 16575360, $33.8401, $34.0746, $33.7032
08/23/2019, $33.5664, 26344200, $34.4168, $34.5536, $33.4002
08/22/2019, $34.2897, 16066550, $34.1724, $34.4363, $34.016
08/21/2019, $34.0844, 18226250, $34.1528, $34.3288, $34.0355
08/20/2019, $33.8303, 18911770, $34.3092, $34.3679, $33.7912
08/19/2019, $34.3874, 20870280, $34.0942, $34.5243, $34.0453
08/16/2019, $33.8694, 28474670, $33.9378, $34.2213, $33.713
08/15/2019, $33.7032, 29140090, $33.5273, $33.801, $33.2047
08/14/2019, $33.4686, 36654090, $34.1431, $34.1919, $33.4295
08/13/2019, $34.407, 43252420, $34.6318, $34.9984, $34.3581
08/12/2019, $34.5927, 41947530, $35.492, $35.5018, $33.9964
08/09/2019, $35.5311, 24090750, $35.9416, $36.0003, $35.2965
08/08/2019, $36.0394, 22159760, $35.8732, $36.1176, $35.7754
08/07/2019, $35.7559, 30376860, $35.8243, $35.9563, $35.0521
08/06/2019, $36.1176, 30347060, $36.3522, $36.4695, $35.6484
08/05/2019, $36.1273, 43671850, $36.9093, $36.9777, $35.5897
08/02/2019, $37.1439, 27659960, $37.3883, $37.6717, $36.8995
08/01/2019, $37.3883, 48979980, $37.4469, $37.7499, $36.8311
07/31/2019, $37.965, 53424450, $37.7304, $38.7763, $37.6424
07/30/2019, $37.9161, 90834600, $38.9327, $39.3334, $37.7304
07/29/2019, $40.5162, 61251570, $41.22, $42.0313, $40.4087
07/26/2019, $42.1192, 19983200, $41.6989, $42.1974, $41.4741
07/25/2019, $41.7087, 16617530, $41.8651, $42.0313, $41.5733
